,article_source,article_post_date_type,article_title,article_url,article_claim
203,Facebook posts,"stated on March 1, 2020 in a Facebook post:",The coronavirus is “simply the common cold.”,/factchecks/2020/mar/09/facebook-posts/2019-coronavirus-isnt-common-cold/,false
204,Facebook posts,"stated on March 2, 2020 in a Facebook post:",“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”,/factchecks/2020/mar/09/facebook-posts/no-evidence-coronavirus-was-faked-cover-5g-syndrom/,false
205,Mike Pence,"stated on March 4, 2020 in in a press briefing:","“With regard to the cost, let me be very clear: HHS has designated the coronavirus test as an essential health benefit. That means, by definition, it's covered in the private health insurance of every American, as well as covered by Medicare and Medicaid.""",/factchecks/2020/mar/06/mike-pence/pences-statement-about-insurance-coverage-coronavi/,half-true
206,Viral image,"stated on March 5, 2020 in a Facebook post:","Says Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”",/factchecks/2020/mar/06/viral-image/no-donald-trump-didnt-tweet-israel-has-coronavirus/,false
207,Donald Trump,"stated on March 4, 2020 in an interview:","The Obama administration ""didn't do anything about” swine flu.",/factchecks/2020/mar/06/donald-trump/donald-trump-wrong-saying-barack-obama-did-nothing/,false
208,Donald Trump,"stated on March 4, 2020 in a meeting at the White House:",“The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirus.,/factchecks/2020/mar/06/donald-trump/trump-wrongly-blames-obama-limits-coronavirus-test/,false
209,Facebook posts,"stated on March 4, 2020 in an image:","The media “pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""",/factchecks/2020/mar/06/facebook-posts/romanian-conspiracy-theory-migrates-us-amid-corona/,pants-fire
210,Facebook posts,"stated on February 27, 2020 in a Facebook post:",Starting in March if you travel outside of the United States you won’t be allowed back in the country “due to high risk of the coronavirus.”,/factchecks/2020/mar/06/facebook-posts/false-claim-embellishes-us-travel-restrictions-due/,false
211,Facebook posts,"stated on March 4, 2020 in a Facebook post:","“The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th.”",/factchecks/2020/mar/05/facebook-posts/no-statewide-school-and-business-closures-florida-/,false
212,Bloggers,"stated on March 3, 2020 in a story:",Says the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,/factchecks/2020/mar/05/blog-posting/blog-falsely-claims-pope-francis-tested-positive-s/,false
213,Facebook posts,"stated on March 2, 2020 in a Facebook post:",Quotes Sen. Lindsey Graham as saying President Trump “probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.”,/factchecks/2020/mar/05/facebook-posts/lindsey-graham-quote-trump-knowing-more-about-viru/,pants-fire
