,article_source,article_post_date_type,article_title,article_url,article_claim
22,Facebook posts,"stated on April 6, 2020 in a Facebook post:","Says the Asian, Hong Kong, swine and bird flus each “killed more people than coronavirus.”",/factchecks/2020/apr/14/facebook-posts/too-soon-compare-number-covid-deaths-past-outbreak/,false
23,Donald Trump,"stated on April 13, 2020 in in a White House briefing:",Says as president he has “total” authority to re-open states amid the COVID-19 pandemic.,/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/,pants-fire
24,Facebook posts,"stated on March 31, 2020 in a Facebook post:",Says there’s an 800 number you can call to track the status of your stimulus check.,/factchecks/2020/apr/14/facebook-posts/no-there-isnt-phone-number-call-track-your-stimulu/,pants-fire
25,Facebook posts,"stated on April 13, 2020 in a Facebook post:",“Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.”,/factchecks/2020/apr/14/facebook-posts/michiganders-arent-banned-buying-american-flags/,false
26,Kathy Hochul,"stated on April 8, 2020 in a television interview:","Gov. Andrew Cuomo “was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.""",/factchecks/2020/apr/14/kathy-hochul/hochul-rewrites-history-ventilator-claim/,pants-fire
27,Candace Owens,"stated on April 6, 2020 in a tweet:",“Everyone is only dying of coronavirus now.”,/factchecks/2020/apr/14/candace-owens/covid-19-skeptics-say-theres-overcount-doctors-fie/,false
28,Rick Santorum,"stated on April 13, 2020 in on CNN:","""The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.""",/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/,barely-true
29,Bloggers,"stated on April 9, 2020 in a blog post:","“Church services can’t resume until we’re all vaccinated, says Bill Gates.”",/factchecks/2020/apr/13/blog-posting/no-bill-gates-didnt-say-no-church-services-until-e/,false
30,Tweets,"stated on April 5, 2020 in social media posts:","Say televangelist Pat Robertson said some young people “are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies’ private parts and that’s where I think the (corona)virus came from.”",/factchecks/2020/apr/13/tweets/no-pat-robertson-didnt-say-covid-19-caused-oral-se/,pants-fire
31,Donald Trump,"stated on April 13, 2020 in a tweet:","""It is the decision of the President,"" not governors, to ""open up the states.""",/factchecks/2020/apr/13/donald-trump/trumps-false-claim-its-him-not-governors-open-stat/,false
32,Facebook posts,"stated on March 29, 2020 in a Facebook post:","Says CEOs got advance notice of COVID, then resigned to dump stock.",/factchecks/2020/apr/13/facebook-posts/ceos-didnt-resign-trade-stock-covid-tip/,false
33,Facebook posts,"stated on March 27, 2020 in a Facebook post:",Says video of body bags being dumped in a ditch shows the “situation in Italy” due to the coronavirus.,/factchecks/2020/apr/13/facebook-posts/no-video-doesnt-show-italys-covid-19-victims-body-/,false
34,Facebook posts,"stated on April 10, 2020 in a Facebook post:",“Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.”,/factchecks/2020/apr/13/facebook-posts/no-seven-children-senegal-didnt-die-after-covid-19/,false
35,Joe Biden,"stated on April 5, 2020 in an ABC ""This Week"" interview:","""45 nations had already moved” to enforce travel restrictions with China “before the president moved.”",/factchecks/2020/apr/13/joe-biden/joe-bidens-claim-about-donald-trumps-slow-travel-r/,half-true
36,DeAnna Lorraine,"stated on April 12, 2020 in a tweet that was retweeted by President Donald Trump:","Says of COVID-19 that Dr. Anthony Fauci ""was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.""",/factchecks/2020/apr/13/deanna-lorraine/tweet-amplified-trump-misleads-faucis-late-februar/,barely-true
37,Tweets,"stated on April 4, 2020 in a tweet:",Suggests Trump urged sick people to get out and vote during COVID-19 pandemic,/factchecks/2020/apr/13/tweets/2016-video-trump-urging-sick-people-vote-resurface/,false
38,Bernie Sanders,"stated on April 8, 2020 in an op-ed published in The Guardian:","“It has been estimated that only 12% of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package.""",/factchecks/2020/apr/13/bernie-sanders/sanders-coronavirus-relief-effort-congress-fell-sh/,mostly-true
39,Facebook posts,"stated on April 6, 2020 in a Facebook post:",“Same little boy died of COVID-19 in three different countries. Still don’t believe the media is #fakenews?”,/factchecks/2020/apr/13/facebook-posts/doctored-images-coronavirus-post-exploit-boys-suic/,pants-fire
40,Viral image,"stated on April 4, 2020 in a Facebook post:",“‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.”,/factchecks/2020/apr/13/viral-image/private-messages-sent-zoom-meeting-hosts-could-app/,half-true
41,Facebook posts,"stated on April 6, 2020 in a Facebook post:",Says a photo shows South Carolina after stay-at-home orders were announced.,/factchecks/2020/apr/13/facebook-posts/old-photo-houston-not-south-carolina-during-pandem/,false
42,Facebook posts,"stated on April 7, 2020 in a Facebook post:",Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,/factchecks/2020/apr/10/facebook-posts/robin-vos-election-protective-gear-was-available-p/,barely-true
43,Ron DeSantis,"stated on April 9, 2020 in a meeting:","""This particular pandemic is one where I don’t think nationwide, there’s been a single fatality under 25.""",/factchecks/2020/apr/10/ron-desantis/florida-governor-falsely-claims-novel-coronavirus-/,pants-fire
44,Facebook posts,"stated on April 3, 2020 in a Facebook post:",Says fluid milk production limitations mean grocery stores are short on milk even as farmers are dumping it,/factchecks/2020/apr/10/facebook-posts/are-bottling-limitations-liquid-milk-blame-milk-du/,half-true
45,Facebook posts,"stated on April 7, 2020 in an image:","Says Donald Trump ""himself has a financial stake in the French company that makes the brand-name version of hydroxychloroquine.”",/factchecks/2020/apr/09/facebook-posts/trump-has-tiny-financial-stake-company-manufacture/,half-true
46,Facebook posts,"stated on March 31, 2020 in a Facebook post:","“The CDC issued its first warning on Jan 8. Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21, & Feb 28. He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7, Mar 8. The first time he admitted the coronavirus might be a problem was Mar 13.”",/factchecks/2020/apr/09/facebook-posts/viral-post-compares-dates-when-trump-admitted-coro/,half-true
47,Facebook posts,"stated on March 24, 2020 in a Facebook post:",Says a pandemic occurs exactly every 100 years.,/factchecks/2020/apr/09/facebook-posts/pandemics-covid-havent-hit-exactly-every-100-years/,false
48,Instagram posts,"stated on March 18, 2020 in an Instagram post:","Says “Bill Gates and other globalists, in collaboration with pharmaceutical companies, are reportedly working to push tracking bracelets and ‘invisible tattoos’ to monitor Americans during an impending lockdown.”",/factchecks/2020/apr/09/instagram-posts/post-about-bill-gates-work-vaccine-tracking-distor/,barely-true
49,Tweets,"stated on April 5, 2020 in a post:","Says Rudy Giuliani ""bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine"" in early February.",/factchecks/2020/apr/09/tweets/fact-checking-rudy-giulianis-ties-hydroxychloroqui/,false
50,Instagram posts,"stated on March 17, 2020 in social media posts:","“While all COVID-19 news has been going on, the U.S. Government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”",/factchecks/2020/apr/09/instagram-posts/government-sneakily-trying-change-encryption-rules/,barely-true
51,Viral image,"stated on April 5, 2020 in a Facebook post:",People are handing out masks “doused with chemicals which knocks you out cold” so they can rob you.,/factchecks/2020/apr/09/viral-image/widespread-warning-about-thieves-knocking-out-thei/,false
52,Facebook posts,"stated on April 5, 2020 in a Facebook post:","“In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.”",/factchecks/2020/apr/09/facebook-posts/photos-show-money-streets-venezuela-2019-not-italy/,false
53,Viral image,"stated on April 8, 2020 in a Facebook post:","Says a California surfer was “alone, in the ocean,” when he was arrested for violating the state’s stay-at-home order.",/factchecks/2020/apr/09/viral-image/la-county-sheriffs-deputies-arrested-paddle-boarde/,mostly-true
54,Facebook posts,"stated on April 6, 2020 in a Facebook post:","“North Carolina & Virginia State line is closed. Nothing in or out.""",/factchecks/2020/apr/08/facebook-posts/no-north-carolina-didnt-shut-down-its-borders-prev/,pants-fire
55,Facebook posts,"stated on April 6, 2020 in a Facebook post:",Says this poem about people staying home was written by Kathleen O’Mara in 1869.,/factchecks/2020/apr/08/facebook-posts/viral-poem-about-staying-home-was-written-2020-not/,false
56,John Bel Edwards,"stated on April 5, 2020 in a CNN interview:","Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",/factchecks/2020/apr/08/john-bel-edwards/louisiana-governor-right-there-was-no-suggestion-m/,true
57,Facebook posts,"stated on April 1, 2020 in a Facebook post:","“Non-essential people get to file for unemployment and make two to three times more than normal,” but essential workers still on the job get no pay raise.",/factchecks/2020/apr/08/facebook-posts/only-few-get-unemployment-pay-raise/,half-true
58,Viral image,"stated on April 6, 2020 in a Facebook post:",“59 people die as pastor gives them dettol to drink in church to prevent coronavirus.”,/factchecks/2020/apr/08/viral-image/no-evidence-59-people-died-drinking-disinfectant-p/,false
